entry_num,gloss,otomian,trique,proto_mixtec,Unnamed: 5,zapotec_isthmus,Unnamed: 7,mazahua,totonac,popoluca,huave,chontal
231.0,to steal,pe,yaj itùù,,sakui'na,riba'na',,,akaslanán,,ñujty,dinantsehma
232.0,to dream,withä,a'nu',,xani,riní' xcaanda',yelha’ (noun),,mansini,,-my,dibayohma
233.0,to cry,zoni,ta'vee,,kuaku,ridxi,webez,,tasá,,,dijojhma
234.0,to yawn,hane,"nacúún ... nej, 'na' nej rihaan",,,ridxaga1 xcaan3da’1,,,tapixkay (noun),macájïp,-sapaw,dijaf'ihma ga'wi
235.0,to cook,"ja tä, hoku̲hñuni",ri'yanj,,chi'i,rugaagui',,,magchá,tïnajcúp,,"dimaq'uehma, dixaf'ihma"
236.0,six,rato,vatàn',*iyò,iñu,xhoopa',xope,ñanto,chaxán,,anajoyuf,agamts'ús
237.0,seven,yoto,"chìj, ichìj",*uxe,uxa,gad1xe2,gaze,yencho,tujún,,ajayuf,agaytsí
238.0,eight,hñäto,"tùnj, itùnj",*one,una,xho1no2,xono',jñincho,tsayán,,anoyuf,abaygo
239.0,nine,gu̲to,ùùn,,ɨɨn,ga',ga,nzincho,najatsi,,apekaf,abel-la
240.0,ten,re̲t’a,"chì', ichì'",*uxi,uxi,chii,chi,dyecha,kau,,akapaf,imbamah
